idx,params_1,params_2,fitness,gen
0,46.0,18.0,18.1221,1.0
1,65.0,36.0,18.5079,1.0
2,74.0,18.0,18.2516,1.0
3,42.0,44.0,18.358,1.0
4,84.0,23.0,18.4047,1.0
5,84.0,23.0,18.4047,1.0
6,74.0,18.0,18.2516,1.0
7,46.0,18.0,18.1221,1.0
8,22.0,49.0,18.595,1.0
9,42.0,44.0,18.358,1.0
0,46.0,18.0,18.1221,2.0
1,50.0,18.0,18.3958,2.0
2,74.0,18.0,18.2516,2.0
3,74.0,25.0,18.1894,2.0
4,42.0,44.0,18.358,2.0
5,42.0,44.0,18.358,2.0
6,74.0,18.0,18.2516,2.0
7,46.0,18.0,18.1221,2.0
8,22.0,49.0,18.595,2.0
9,42.0,44.0,18.358,2.0
0,46.0,18.0,18.1221,3.0
1,46.0,18.0,18.1221,3.0
2,74.0,18.0,18.2516,3.0
3,74.0,25.0,18.1894,3.0
4,42.0,44.0,18.358,3.0
5,42.0,44.0,18.358,3.0
6,74.0,18.0,18.2516,3.0
7,46.0,18.0,18.1221,3.0
8,22.0,49.0,18.595,3.0
9,42.0,44.0,18.358,3.0
0,46.0,18.0,18.1221,4.0
1,46.0,18.0,18.1221,4.0
2,74.0,18.0,18.2516,4.0
3,74.0,25.0,18.1894,4.0
4,74.0,18.0,18.2516,4.0
5,74.0,18.0,18.2516,4.0
6,74.0,18.0,18.2516,4.0
7,46.0,18.0,18.1221,4.0
8,42.0,49.0,18.4469,4.0
9,42.0,44.0,18.358,4.0
0,46.0,18.0,18.1221,5.0
1,46.0,18.0,18.1221,5.0
2,74.0,18.0,18.2516,5.0
3,74.0,25.0,18.1894,5.0
4,74.0,18.0,18.2516,5.0
5,74.0,18.0,18.2516,5.0
6,74.0,18.0,18.2516,5.0
7,46.0,18.0,18.1221,5.0
8,86.0,44.0,18.4027,5.0
9,42.0,44.0,18.358,5.0
0,46.0,18.0,18.1221,6.0
1,46.0,18.0,18.1221,6.0
2,74.0,18.0,18.2516,6.0
3,74.0,25.0,18.1894,6.0
4,74.0,18.0,18.2516,6.0
5,74.0,18.0,18.2516,6.0
6,74.0,18.0,18.2516,6.0
7,46.0,18.0,18.1221,6.0
8,42.0,44.0,18.358,6.0
9,42.0,44.0,18.358,6.0
0,46.0,18.0,18.1221,7.0
1,46.0,18.0,18.1221,7.0
2,46.0,18.0,18.1221,7.0
3,74.0,25.0,18.1894,7.0
4,74.0,18.0,18.2516,7.0
5,74.0,18.0,18.2516,7.0
6,74.0,18.0,18.2516,7.0
7,46.0,18.0,18.1221,7.0
8,42.0,44.0,18.358,7.0
9,42.0,44.0,18.358,7.0
0,46.0,18.0,18.1221,8.0
1,46.0,18.0,18.1221,8.0
2,46.0,18.0,18.1221,8.0
3,46.0,18.0,18.1221,8.0
4,74.0,18.0,18.2516,8.0
5,74.0,18.0,18.2516,8.0
6,74.0,18.0,18.2516,8.0
7,46.0,18.0,18.1221,8.0
8,42.0,44.0,18.358,8.0
9,42.0,44.0,18.358,8.0
0,46.0,18.0,18.1221,9.0
1,46.0,18.0,18.1221,9.0
2,46.0,18.0,18.1221,9.0
3,46.0,18.0,18.1221,9.0
4,46.0,18.0,18.1221,9.0
5,74.0,18.0,18.2516,9.0
6,74.0,18.0,18.2516,9.0
7,46.0,18.0,18.1221,9.0
8,42.0,44.0,18.358,9.0
9,42.0,44.0,18.358,9.0
0,46.0,18.0,18.1221,10.0
1,46.0,18.0,18.1221,10.0
2,46.0,18.0,18.1221,10.0
3,46.0,18.0,18.1221,10.0
4,46.0,18.0,18.1221,10.0
5,46.0,18.0,18.1221,10.0
6,74.0,18.0,18.2516,10.0
7,46.0,18.0,18.1221,10.0
8,42.0,44.0,18.358,10.0
9,42.0,44.0,18.358,10.0
